iter	Passed	Remaining
611	6398	4056
612	6407	4045
613	6417	4034
614	6426	4023
615	6436	4012
616	6445	4000
617	6454	3989
618	6464	3978
619	6473	3967
620	6482	3956
621	6491	3944
622	6500	3933
623	6510	3922
624	6520	3912
625	6531	3901
626	6540	3890
627	6550	3879
628	6559	3869
629	6569	3858
630	6588	3852
631	6601	3844
632	6611	3833
633	6620	3822
634	6629	3810
635	6642	3801
636	6651	3790
637	6661	3779
638	6670	3768
639	6679	3757
640	6688	3746
641	6697	3734
642	6706	3723
643	6715	3712
644	6724	3701
645	6733	3689
646	6742	3678
647	6751	3667
648	6761	3656
649	6771	3645
650	6780	3634
651	6794	3626
652	6808	3617
653	6817	3607
654	6826	3595
655	6836	3585
656	6845	3573
657	6854	3562
658	6864	3551
659	6873	3541
660	6884	3530
661	6893	3519
662	6903	3508
663	6912	3497
664	6922	3487
665	6931	3476
666	6940	3465
667	6949	3454
668	6958	3442
669	6967	3431
670	6976	3420
671	6986	3410
672	7001	3401
673	7011	3391
674	7020	3380
675	7029	3369
676	7038	3358
677	7047	3347
678	7057	3336
679	7067	3325
680	7076	3314
681	7085	3303
682	7093	3292
683	7103	3281
684	7113	3270
685	7122	3259
686	7147	3256
687	7159	3246
688	7170	3236
689	7178	3225
690	7188	3214
691	7199	3204
692	7214	3196
693	7223	3185
694	7233	3174
695	7243	3163
696	7252	3152
697	7261	3141
698	7270	3130
699	7279	3119
700	7289	3109
701	7298	3098
702	7307	3087
703	7317	3076
704	7326	3065
705	7336	3055
706	7345	3044
707	7355	3033
708	7365	3022
709	7375	3012
710	7384	3001
711	7394	2990
712	7410	2982
713	7419	2972
714	7428	2961
715	7441	2951
716	7453	2941
717	7475	2935
718	7495	2929
719	7509	2920
720	7518	2909
721	7528	2898
722	7537	2887
723	7546	2876
724	7556	2866
725	7565	2855
726	7575	2844
727	7586	2834
728	7595	2823
729	7604	2812
730	7627	2806
731	7637	2796
732	7647	2785
733	7656	2774
734	7665	2763
735	7674	2752
736	7685	2742
737	7694	2731
738	7703	2720
739	7713	2710
740	7722	2699
741	7732	2688
742	7741	2677
743	7750	2666
744	7759	2655
745	7768	2645
746	7778	2634
747	7788	2623
748	7797	2613
749	7806	2602
750	7816	2591
751	7830	2582
752	7844	2573
753	7853	2562
754	7862	2551
755	7872	2540
756	7881	2530
757	7891	2519
758	7900	2508
759	7909	2497
760	7919	2487
761	7929	2476
762	7938	2465
763	7947	2454
764	7956	2444
765	7964	2433
766	7974	2422
767	7984	2411
768	7993	2401
769	8002	2390
770	8011	2379
771	8020	2368
772	8031	2358
773	8051	2350
774	8059	2339
775	8069	2329
776	8079	2318
777	8089	2308
778	8099	2297
779	8109	2287
780	8120	2277
781	8136	2268
782	8159	2261
783	8170	2251
784	8180	2240
785	8189	2229
786	8199	2219
787	8208	2208
788	8217	2197
789	8225	2186
790	8246	2178
791	8258	2168
792	8268	2158
793	8277	2147
794	8288	2137
795	8297	2126
796	8306	2115
797	8316	2105
798	8325	2094
799	8335	2083
800	8344	2073
801	8354	2062
802	8364	2051
803	8372	2041
804	8382	2030
805	8390	2019
806	8400	2008
807	8408	1998
808	8418	1987
809	8426	1976
810	8436	1966
811	8449	1956
812	8460	1945
813	8469	1935
814	8479	1924
815	8488	1914
816	8497	1903
817	8507	1892
818	8516	1882
819	8528	1872
820	8539	1861
821	8548	1851
822	8558	1840
823	8566	1829
824	8575	1819
825	8585	1808
826	8594	1797
827	8605	1787
828	8614	1776
829	8624	1766
830	8633	1755
831	8643	1745
832	8661	1736
833	8671	1725
834	8681	1715
835	8690	1704
836	8699	1694
837	8709	1683
838	8718	1673
839	8727	1662
840	8736	1651
841	8745	1641
842	8755	1630
843	8763	1619
844	8772	1609
845	8781	1598
846	8790	1587
847	8800	1577
848	8809	1566
849	8818	1556
850	8827	1545
851	8836	1534
852	8846	1524
853	8855	1513
854	8871	1504
855	8880	1493
856	8890	1483
857	8900	1473
858	8910	1462
859	8920	1452
860	8930	1441
861	8939	1431
862	8950	1420
863	8959	1410
864	8970	1400
865	8980	1389
866	8989	1378
867	8998	1368
868	9008	1357
869	9020	1347
870	9029	1337
871	9040	1327
872	9049	1316
873	9060	1306
874	9071	1295
875	9086	1286
876	9099	1276
877	9111	1266
878	9121	1255
879	9131	1245
880	9145	1235
881	9164	1226
882	9174	1215
883	9183	1205
884	9192	1194
885	9201	1183
886	9211	1173
887	9221	1163
888	9231	1152
889	9239	1141
890	9249	1131
891	9259	1121
892	9271	1110
893	9283	1100
894	9293	1090
895	9302	1079
896	9311	1069
897	9320	1058
898	9330	1048
899	9340	1037
900	9349	1027
901	9358	1016
902	9368	1006
903	9378	995
904	9386	985
905	9396	974
906	9405	964
907	9414	953
908	9424	943
909	9435	933
910	9444	922
911	9457	912
912	9466	902
913	9489	892
914	9498	882
915	9508	871
916	9519	861
917	9528	851
918	9537	840
919	9546	830
920	9555	819
921	9565	809
922	9574	798
923	9586	788
924	9595	778
925	9605	767
926	9614	757
927	9623	746
928	9633	736
929	9641	725
930	9651	715
931	9660	704
932	9669	694
933	9678	683
934	9693	673
935	9704	663
936	9720	653
937	9728	643
938	9738	632
939	9747	622
940	9756	611
941	9766	601
942	9775	590
943	9785	580
944	9794	570
945	9804	559
946	9814	549
947	9823	538
948	9833	528
949	9842	518
950	9854	507
951	9864	497
952	9873	486
953	9883	476
954	9899	466
955	9909	456
956	9919	445
957	9930	435
958	9939	424
959	9949	414
960	9959	404
961	9968	393
962	9979	383
963	9987	372
964	9997	362
965	10006	352
966	10016	341
967	10026	331
968	10036	321
969	10046	310
970	10055	300
971	10083	290
972	10102	280
973	10117	270
974	10131	259
975	10145	249
976	10156	239
977	10175	228
978	10199	218
979	10216	208
980	10240	198
981	10262	188
982	10291	177
983	10315	167
984	10330	157
985	10351	146
986	10376	136
987	10397	126
988	10421	115
989	10445	105
990	10469	95
991	10489	84
992	10505	74
993	10534	63
994	10565	53
995	10586	42
996	10610	31
997	10635	21
998	10660	10
999	10686	0
